Cycle,Model,Accuracy,Precision,Recall,F1,MCC,AUC
Stage 1,DT Baseline,0.8231292517006803,0.35294117647058826,0.1276595744680851,0.1875,0.1305165431328947,0.6591006977345163
Stage 1,RF Default,0.8299319727891157,0.38461538461538464,0.10638297872340426,0.16666666666666666,0.13190793516810786,0.7877078129037816
Stage 1,XGB Default,0.8639455782312925,0.7058823529411765,0.2553191489361702,0.375,0.3690980789737509,0.7739684727366698
Stage 2 - Weighted,DT Weighted,0.717687074829932,0.3,0.574468085106383,0.39416058394160586,0.2539837794157942,0.6563442156947196
Stage 2 - Weighted,RF Weighted,0.8367346938775511,0.45454545454545453,0.10638297872340426,0.1724137931034483,0.15852798325621373,0.7775002153501595
Stage 2 - Weighted,XGB Weighted,0.8537414965986394,0.5833333333333334,0.2978723404255319,0.39436619718309857,0.34450512307656195,0.7882677233181152
